code,description,category
0024U,Glyca nuc mr spectrsc quan,CLINICAL LABORATORY SERVICES
82947,Assay glucose blood quant [only when billed with ICD-10-CM code Z13.1],PREVENTIVE SCREENING TESTS AND VACCINES
82950,Glucose test [only when billed with ICD-10-CM code Z13.1],PREVENTIVE SCREENING TESTS AND VACCINES
82951,Glucose tolerance test (GTT) [only when billed with ICD-10-CM code Z13.1],PREVENTIVE SCREENING TESTS AND VACCINES
84478,Assay of triglycerides [only when billed with ICD-10-CM code Z13.6],PREVENTIVE SCREENING TESTS AND VACCINES
