code,short_desc,long_desc,is_header
E083532,"Diab with prolif diab rtnop with trctn dtch n-mcla, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",0
E083533,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",0
E083539,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",0
E083541,"Diabetes with prolif diabetic rtnop with comb detach, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",0
E083542,"Diab with prolif diabetic rtnop with comb detach, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",0
E083543,"Diabetes with prolif diabetic rtnop with combined detach, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",0
E083549,"Diabetes with prolif diabetic rtnop with comb detach, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",0
E083551,"Diabetes with stable prolif diabetic retinopathy, right eye","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",0
E083552,"Diabetes with stable prolif diabetic retinopathy, left eye","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",0
E083553,"Diabetes with stable prolif diabetic retinopathy, bilateral","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",0
E083559,"Diabetes with stable prolif diabetic retinopathy, unsp","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",0
E083591,"Diab with prolif diabetic rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",0
E083592,"Diab with prolif diab rtnop without macular edema, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",0
E083593,"Diab with prolif diabetic rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",0
E083599,"Diab with prolif diabetic rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",0
E0836,Diabetes due to underlying condition w diabetic cataract,Diabetes mellitus due to underlying condition with diabetic cataract,0
E0837X1,"Diab with diabetic macular edema, resolved fol trtmt, r eye","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",0
E0837X2,"Diab with diab macular edema, resolved fol trtmt, left eye","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",0
E0837X3,"Diabetes with diabetic macular edema, resolved fol trtmt, bi","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",0
E0837X9,"Diab with diabetic macular edema, resolved fol trtmt, unsp","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",0
E0839,Diabetes due to undrl condition w oth diabetic opth comp,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,0
E0840,"Diabetes due to underlying condition w diabetic neurop, unsp","Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",0
E0841,Diabetes due to undrl condition w diabetic mononeuropathy,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,0
E0842,Diabetes due to underlying condition w diabetic polyneurop,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,0
E0843,Diab due to undrl cond w diabetic autonm (poly)neuropathy,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,0
E0844,Diabetes due to underlying condition w diabetic amyotrophy,Diabetes mellitus due to underlying condition with diabetic amyotrophy,0
E0849,Diabetes due to undrl condition w oth diabetic neuro comp,Diabetes mellitus due to underlying condition with other diabetic neurological complication,0
E0851,Diab due to undrl cond w diab prph angiopath w/o gangrene,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,0
E0852,Diab due to undrl cond w diabetic prph angiopath w gangrene,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,0
E0859,Diabetes due to underlying condition w oth circulatory comp,Diabetes mellitus due to underlying condition with other circulatory complications,0
E08610,Diabetes due to undrl cond w diabetic neuropathic arthrop,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,0
E08618,Diabetes due to underlying condition w oth diabetic arthrop,Diabetes mellitus due to underlying condition with other diabetic arthropathy,0
E08620,Diabetes due to underlying condition w diabetic dermatitis,Diabetes mellitus due to underlying condition with diabetic dermatitis,0
E08621,Diabetes mellitus due to underlying condition w foot ulcer,Diabetes mellitus due to underlying condition with foot ulcer,0
E08622,Diabetes due to underlying condition w oth skin ulcer,Diabetes mellitus due to underlying condition with other skin ulcer,0
E08628,Diabetes due to underlying condition w oth skin comp,Diabetes mellitus due to underlying condition with other skin complications,0
E08630,Diabetes due to underlying condition w periodontal disease,Diabetes mellitus due to underlying condition with periodontal disease,0
E08638,Diabetes due to underlying condition w oth oral comp,Diabetes mellitus due to underlying condition with other oral complications,0
E08641,Diabetes due to underlying condition w hypoglycemia w coma,Diabetes mellitus due to underlying condition with hypoglycemia with coma,0
E08649,Diabetes due to underlying condition w hypoglycemia w/o coma,Diabetes mellitus due to underlying condition with hypoglycemia without coma,0
E0865,Diabetes due to underlying condition w hyperglycemia,Diabetes mellitus due to underlying condition with hyperglycemia,0
E0869,Diabetes due to underlying condition w oth complication,Diabetes mellitus due to underlying condition with other specified complication,0
E088,Diabetes due to underlying condition w unsp complications,Diabetes mellitus due to underlying condition with unspecified complications,0
E089,Diabetes due to underlying condition w/o complications,Diabetes mellitus due to underlying condition without complications,0
E0900,Drug/chem diab w hyprosm w/o nonket hyprgly-hypros coma,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),0
E0901,Drug/chem diabetes mellitus w hyperosmolarity w coma,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,0
E0910,Drug/chem diabetes mellitus w ketoacidosis w/o coma,Drug or chemical induced diabetes mellitus with ketoacidosis without coma,0
E0911,Drug/chem diabetes mellitus w ketoacidosis w coma,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,0
E0921,Drug/chem diabetes mellitus w diabetic nephropathy,Drug or chemical induced diabetes mellitus with diabetic nephropathy,0
E0922,Drug/chem diabetes w diabetic chronic kidney disease,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,0
E0929,Drug/chem diabetes w oth diabetic kidney complication,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,0
E09311,Drug/chem diabetes w unsp diabetic rtnop w macular edema,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,0
E09319,Drug/chem diabetes w unsp diabetic rtnop w/o macular edema,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,0
E093211,"Drug/chem diab with mild nonp rtnop with mclr edema, r eye","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",0
E093212,"Drug/chem diab with mild nonp rtnop with mclr edema, l eye","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",0
E093213,"Drug/chem diab with mild nonp rtnop with macular edema, bi","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",0
E093219,"Drug/chem diab with mild nonp rtnop with macular edema, unsp","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",0
E093291,"Drug/chem diab with mild nonp rtnop w/o mclr edema, r eye","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",0
E093292,"Drug/chem diab with mild nonp rtnop w/o mclr edema, l eye","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",0
E093293,"Drug/chem diab with mild nonp rtnop without mclr edema, bi","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",0
E093299,"Drug/chem diab with mild nonp rtnop without mclr edema, unsp","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",0
E093311,"Drug/chem diab with mod nonp rtnop with macular edema, r eye","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",0
E093312,"Drug/chem diab with mod nonp rtnop with macular edema, l eye","Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",0
