code,description,category
0069U,Onc clrct microrna mir-31-3p,CLINICAL LABORATORY SERVICES
0070U,Cyp2d6 gen com&slct rar vrnt,CLINICAL LABORATORY SERVICES
0071U,Cyp2d6 full gene sequence,CLINICAL LABORATORY SERVICES
0072U,Cyp2d6 gen cyp2d6-2d7 hybrid,CLINICAL LABORATORY SERVICES
0073U,Cyp2d6 gen cyp2d7-2d6 hybrid,CLINICAL LABORATORY SERVICES
0074U,Cyp2d6 nonduplicated gene,CLINICAL LABORATORY SERVICES
0075U,Cyp2d6 5' gene dup/mlt,CLINICAL LABORATORY SERVICES
0076U,Cyp2d6 3' gene dup/mlt,CLINICAL LABORATORY SERVICES
0077U,Ig paraprotein qual bld/ur,CLINICAL LABORATORY SERVICES
0078U,Pain mgt opi use gnotyp pnl,CLINICAL LABORATORY SERVICES
0080U,Onc lng 5 clin rsk factr alg,CLINICAL LABORATORY SERVICES
0082U,Rx test def 90+ rx/sbsts ur,CLINICAL LABORATORY SERVICES
0083U,Onc rspse chemo cntrst tomog,CLINICAL LABORATORY SERVICES
0084U,Rbc dna gnotyp 10 bld groups,CLINICAL LABORATORY SERVICES
0086U,Nfct ds bact&fng org id 6+,CLINICAL LABORATORY SERVICES
0087U,Crd hrt trnspl mrna 1283 gen,CLINICAL LABORATORY SERVICES
0088U,Trnsplj kdn algrft rej 1494,CLINICAL LABORATORY SERVICES
0089U,Onc mlnma prame & linc00518,CLINICAL LABORATORY SERVICES
0090U,Onc cutan mlnma mrna 23 gene,CLINICAL LABORATORY SERVICES
0092U,Onc lng 3 prtn bmrk plsm alg,CLINICAL LABORATORY SERVICES
0093U,Rx mntr 65 com drugs urine,CLINICAL LABORATORY SERVICES
0094U,Genome rapid sequence alys,CLINICAL LABORATORY SERVICES
0095U,Ee 2 prtn bmrk mbp elisa est,CLINICAL LABORATORY SERVICES
0096U,Hpv hi risk types male urine,CLINICAL LABORATORY SERVICES
0101U,Hered colon ca do 15 genes,CLINICAL LABORATORY SERVICES
0102U,Hered brst ca rltd do 17 gen,CLINICAL LABORATORY SERVICES
0103U,Hered ova ca pnl 24 genes,CLINICAL LABORATORY SERVICES
0105U,Neph ckd mult eclia tum nec,CLINICAL LABORATORY SERVICES
0106U,Gstr emptg 7 timed brth spec,CLINICAL LABORATORY SERVICES
0107U,C diff tox ag detcj ia stool,CLINICAL LABORATORY SERVICES
0108U,Gi barrett esoph 9 prtn bmrk,CLINICAL LABORATORY SERVICES
0109U,Id aspergillus dna 4 species,CLINICAL LABORATORY SERVICES
0110U,Rx mntr 1+oral onc rx&sbsts,CLINICAL LABORATORY SERVICES
0111U,Onc colon ca kras&nras alys,CLINICAL LABORATORY SERVICES
0112U,Iadi 16s&18s rrna genes,CLINICAL LABORATORY SERVICES
0113U,Onc prst8 pca3&tmprss2-erg,CLINICAL LABORATORY SERVICES
0114U,Gi barretts esoph vim&ccna1,CLINICAL LABORATORY SERVICES
0115U,Respir iadna 18 viral&2 bact,CLINICAL LABORATORY SERVICES
0116U,Rx mntr nzm ia 35+oral flu,CLINICAL LABORATORY SERVICES
0117U,Pain mgmt 11 endogenous anal,CLINICAL LABORATORY SERVICES
0118U,Trnsplj don-drv cll-fr dna,CLINICAL LABORATORY SERVICES
0119U,Crd ceramides liq chrom plsm,CLINICAL LABORATORY SERVICES
0120U,Onc b cll lymphm mrna 58 gen,CLINICAL LABORATORY SERVICES
0121U,Sc dis vcam-1 whole blood,CLINICAL LABORATORY SERVICES
0122U,Sc dis p-selectin whl blood,CLINICAL LABORATORY SERVICES
0123U,Mchnl fragility rbc prflg,CLINICAL LABORATORY SERVICES
0129U,Hered brst ca rltd do panel,CLINICAL LABORATORY SERVICES
0130U,Hered colon ca do mrna pnl,CLINICAL LABORATORY SERVICES
0133U,Hered prst8 ca rltd do 11,CLINICAL LABORATORY SERVICES
0134U,Hered pan ca mrna pnl 18 gen,CLINICAL LABORATORY SERVICES
0136U,Atm mrna seq alys,CLINICAL LABORATORY SERVICES
0137U,Palb2 mrna seq alys,CLINICAL LABORATORY SERVICES
0138U,Brca1 brca2 mrna seq alys,CLINICAL LABORATORY SERVICES
0140U,Nfct ds fungi dna 15 trgt,CLINICAL LABORATORY SERVICES
0141U,Nfct ds bact&fng gram pos,CLINICAL LABORATORY SERVICES
0142U,Nfct ds bact&fng gram neg,CLINICAL LABORATORY SERVICES
0152U,Nfct ds dna untrgt ngnrj seq,CLINICAL LABORATORY SERVICES
0153U,Onc breast mrna 101 genes,CLINICAL LABORATORY SERVICES
0154U,Onc urthl ca rna fgfr3 gene,CLINICAL LABORATORY SERVICES
0155U,Onc brst ca dna pik3ca gene,CLINICAL LABORATORY SERVICES
0156U,Copy number sequence alys,CLINICAL LABORATORY SERVICES
0157U,Apc mrna seq alys,CLINICAL LABORATORY SERVICES
0158U,Mlh1 mrna seq alys,CLINICAL LABORATORY SERVICES
0159U,Msh2 mrna seq alys,CLINICAL LABORATORY SERVICES
0160U,Msh6 mrna seq alys,CLINICAL LABORATORY SERVICES
0161U,Pms2 mrna seq alys,CLINICAL LABORATORY SERVICES
0162U,Hered colon ca trgt mrna pnl,CLINICAL LABORATORY SERVICES
0163U,Onc clrct scr 3 prtn alg,CLINICAL LABORATORY SERVICES
0164U,Gi ibs ia anti-cdtb&vinculin,CLINICAL LABORATORY SERVICES
0165U,Peanut allg asmt epi,CLINICAL LABORATORY SERVICES
0166U,Liver ds 10 biochem asy srm,CLINICAL LABORATORY SERVICES
0169U,Nudt15&tpmt gene com vrnt,CLINICAL LABORATORY SERVICES
0170U,Neuro asd rna next gen seq,CLINICAL LABORATORY SERVICES
0171U,Trgt gen seq alys pnl dna 23,CLINICAL LABORATORY SERVICES
0172U,Onc sld tum alys brca1 brca2,CLINICAL LABORATORY SERVICES
0173U,Psyc gen alys panel 14 genes,CLINICAL LABORATORY SERVICES
0174U,Onc solid tumor 30 prtn trgt,CLINICAL LABORATORY SERVICES
0175U,Psyc gen alys panel 15 genes,CLINICAL LABORATORY SERVICES
0176U,Cdtb&vinculin igg antb ia,CLINICAL LABORATORY SERVICES
0177U,Onc brst ca dna pik3ca 11,CLINICAL LABORATORY SERVICES
0178U,Peanut allg asmt epi clin rx,CLINICAL LABORATORY SERVICES
0179U,Onc nonsm cll lng ca alys 23,CLINICAL LABORATORY SERVICES
0180U,Abo gnotyp abo 7 exons,CLINICAL LABORATORY SERVICES
0181U,Co gnotyp aqp1 exon 1,CLINICAL LABORATORY SERVICES
0182U,Crom gnotyp cd55 exons 1-10,CLINICAL LABORATORY SERVICES
0183U,Di gnotyp slc4a1 exon 19,CLINICAL LABORATORY SERVICES
0184U,Do gnotyp art4 exon 2,CLINICAL LABORATORY SERVICES
0185U,Fut1 gnotyp fut1 exon 4,CLINICAL LABORATORY SERVICES
0186U,Fut2 gnotyp fut2 exon 2,CLINICAL LABORATORY SERVICES
0187U,Fy gnotyp ackr1 exons 1-2,CLINICAL LABORATORY SERVICES
0188U,Ge gnotyp gypc exons 1-4,CLINICAL LABORATORY SERVICES
0189U,Gypa gnotyp ntrns 1 5 exon 2,CLINICAL LABORATORY SERVICES
0190U,Gypb gnotyp ntrns 1 5 seux 3,CLINICAL LABORATORY SERVICES
0191U,In gnotyp cd44 exons 2 3 6,CLINICAL LABORATORY SERVICES
0192U,Jk gnotyp slc14a1 exon 9,CLINICAL LABORATORY SERVICES
0193U,Jr gnotyp abcg2 exons 2-26,CLINICAL LABORATORY SERVICES
0194U,Kel gnotyp kel exon 8,CLINICAL LABORATORY SERVICES
0195U,Klf1 targeted sequencing,CLINICAL LABORATORY SERVICES
0196U,Lu gnotyp bcam exon 3,CLINICAL LABORATORY SERVICES
0197U,Lw gnotyp icam4 exon 1,CLINICAL LABORATORY SERVICES
0198U,Rhd&rhce gntyp rhd1-10&rhce5,CLINICAL LABORATORY SERVICES
0199U,Sc gnotyp ermap exons 4 12,CLINICAL LABORATORY SERVICES
0200U,Xk gnotyp xk exons 1-3,CLINICAL LABORATORY SERVICES
0201U,Yt gnotyp ache exon 2,CLINICAL LABORATORY SERVICES
0202U,Nfct ds 22 trgt sars-cov-2,CLINICAL LABORATORY SERVICES
0203U,Ai ibd mrna xprsn prfl 17,CLINICAL LABORATORY SERVICES
0205U,Oph amd alys 3 gene variants,CLINICAL LABORATORY SERVICES
0206U,Neuro alzheimer cell aggregj,CLINICAL LABORATORY SERVICES
0207U,Neuro alzheimer quan imaging,CLINICAL LABORATORY SERVICES
0209U,Cytog const alys interrog,CLINICAL LABORATORY SERVICES
0210U,Syphilis tst antb ia quan,CLINICAL LABORATORY SERVICES
0211U,Onc pan-tum dna&rna gnrj seq,CLINICAL LABORATORY SERVICES
0212U,Rare ds gen dna alys proband,CLINICAL LABORATORY SERVICES
0213U,Rare ds gen dna alys ea comp,CLINICAL LABORATORY SERVICES
0214U,Rare ds xom dna alys proband,CLINICAL LABORATORY SERVICES
0215U,Rare ds xom dna alys ea comp,CLINICAL LABORATORY SERVICES
0216U,Neuro inh ataxia dna 12 com,CLINICAL LABORATORY SERVICES
0217U,Neuro inh ataxia dna 51 gene,CLINICAL LABORATORY SERVICES
0218U,Neuro musc dys dmd seq alys,CLINICAL LABORATORY SERVICES
0219U,Nfct agt hiv gnrj seq alys,CLINICAL LABORATORY SERVICES
0220U,Onc brst ca ai assmt 12 feat,CLINICAL LABORATORY SERVICES
0221U,Abo gnotyp next gnrj seq abo,CLINICAL LABORATORY SERVICES
